DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central,1,0.0,2.4,20.0,10000.0,-15.0,1.1, 1.0
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,-15.0,0.0, 0.875507235527
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.0,0.106, 1.12514662743
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.106,0.2455, 80.6915943226*(x-0.106)*(x-0.106)*(x-0.106)-33.769432224*(x-0.106)*(x-0.106)+4.71083579525*(x-0.106)+1.1251466274261475
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.2455,0.3085, 2286.53836199*(x-0.2455)*(x-0.2455)*(x-0.2455)-216.077875208*(x-0.2455)*(x-0.2455)+0.0*(x-0.2455)+1.3442004919052124
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.3085,0.3595, -2432.84689881*(x-0.3085)*(x-0.3085)*(x-0.3085)+186.112787759*(x-0.3085)*(x-0.3085)+0.0*(x-0.3085)+1.058329463005066
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.3595,0.4055, 2573.36951293*(x-0.3595)*(x-0.3595)*(x-0.3595)-189.354890239*(x-0.3595)*(x-0.3595)+0.0*(x-0.3595)+1.2196892499923706
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.4055,0.4525, 96.1595376919*(x-0.4055)*(x-0.4055)*(x-0.4055)+4.76224444274*(x-0.4055)*(x-0.4055)-1.0849002339*(x-0.4055)+1.0694957971572876
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.4525,0.5005, -255.719800661*(x-0.4525)*(x-0.4525)*(x-0.4525)+26.5067633163*(x-0.4525)*(x-0.4525)+0.0*(x-0.4525)+1.0390088558197021
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.5005,0.55, -191.281617147*(x-0.5005)*(x-0.5005)*(x-0.5005)+12.0022892541*(x-0.5005)*(x-0.5005)+0.777114016195*(x-0.5005)+1.071799874305725
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.55,0.5995, -102.469600148*(x-0.55)*(x-0.55)*(x-0.55)+1.95910210282*(x-0.55)*(x-0.55)+0.559277305112*(x-0.55)+1.1164755821228027
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.5995,0.6505, 740.386595374*(x-0.5995)*(x-0.5995)*(x-0.5995)-66.2474366556*(x-0.5995)*(x-0.5995)+0.0*(x-0.5995)+1.1365318298339844
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.6505,0.7025, -109.450672917*(x-0.6505)*(x-0.6505)*(x-0.6505)+10.341801184*(x-0.6505)*(x-0.6505)-0.980001935167*(x-0.6505)+1.062435269355774
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.7025,0.7559999999999999, -56.4360804633*(x-0.7025)*(x-0.7025)*(x-0.7025)+1.83523501357*(x-0.7025)*(x-0.7025)-0.792318470733*(x-0.7025)+1.0240497589111328
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.7559999999999999,0.81, 635.892545011*(x-0.756)*(x-0.756)*(x-0.756)-41.5021957922*(x-0.756)*(x-0.756)-1.0805508382*(x-0.756)+0.9782715439796448
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.81,0.8640000000000001, -427.461116227*(x-0.81)*(x-0.81)*(x-0.81)+34.6243504144*(x-0.81)*(x-0.81)+0.0*(x-0.81)+0.8990315794944763
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.8640000000000001,0.9185, 483.402134597*(x-0.864)*(x-0.864)*(x-0.864)-46.6261663736*(x-0.864)*(x-0.864)+0.0*(x-0.864)+0.932686448097229
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.9185,0.978, 24.0975035265*(x-0.9185)*(x-0.9185)*(x-0.9185)+1.63172049972*(x-0.9185)*(x-0.9185)-0.774776563857*(x-0.9185)+0.8724475502967834
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.978,1.1, 0.837201058865
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,-15.0,0.0, 1.07974267006
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.0,0.0995, 1.20539820194
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.0995,0.2305, 0.371358699302*(x-0.0995)*(x-0.0995)*(x-0.0995)-0.228847503161*(x-0.0995)*(x-0.0995)-0.105003397253*(x-0.0995)+1.2053982019424438
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.2305,0.2885, -40.385667963*(x-0.2305)*(x-0.2305)*(x-0.2305)+2.05229187246*(x-0.2305)*(x-0.2305)-0.145842783165*(x-0.2305)+1.188550353050232
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.2885,0.34, 2312.3373196*(x-0.2885)*(x-0.2885)*(x-0.2885)-175.566416317*(x-0.2885)*(x-0.2885)-0.315349087042*(x-0.2885)+1.179115653038025
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.34,0.3885, -1906.5095602*(x-0.34)*(x-0.34)*(x-0.34)+141.337290703*(x-0.34)*(x-0.34)+0.0*(x-0.34)+1.0130733251571655
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.3885,0.4345, -7.96653658877*(x-0.3885)*(x-0.3885)*(x-0.3885)-2.23243787996*(x-0.3885)*(x-0.3885)+0.255955859221*(x-0.3885)+1.1280314922332764
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.4345,0.48100000000000004, 2807.67053162*(x-0.4345)*(x-0.4345)*(x-0.4345)-195.83501958*(x-0.4345)*(x-0.4345)+0.0*(x-0.4345)+1.1343061923980713
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.48100000000000004,0.5329999999999999, -1258.92429825*(x-0.481)*(x-0.481)*(x-0.481)+98.1960952635*(x-0.481)*(x-0.481)+0.0*(x-0.481)+0.9931581020355225
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.5329999999999999,0.589, 122.270707052*(x-0.533)*(x-0.533)*(x-0.533)-10.2707393924*(x-0.533)*(x-0.533)+0.0*(x-0.533)+1.0816655158996582
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.589,0.644, -354.73388626*(x-0.589)*(x-0.589)*(x-0.589)+29.2655456165*(x-0.589)*(x-0.589)+0.0*(x-0.589)+1.0709291696548462
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.644,0.698, 1344.73347963*(x-0.644)*(x-0.644)*(x-0.644)-109.226187031*(x-0.644)*(x-0.644)+0.0*(x-0.644)+1.1004385948181152
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.698,0.752, -10.9124265449*(x-0.698)*(x-0.698)*(x-0.698)+0.889521335306*(x-0.698)*(x-0.698)-0.0326997195307*(x-0.698)+0.9936821460723877
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.752,0.807, 435.9638616*(x-0.752)*(x-0.752)*(x-0.752)-35.6752611026*(x-0.752)*(x-0.752)-0.032093322732*(x-0.752)+0.9927918910980225
