DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central,1,-2.4,2.4,20.0,1000.0,0.0,1.0," ""0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x)))"" "
0, comb, central,0,-2.4,2.4,20.0,1000.0,0.0,1.0," ""0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x)))"" "
0, comb, down,1,-2.4,2.4,20.0,30.0,0.0,1.0," ""(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.097698040306568146"" "
0, comb, down,1,-2.4,2.4,30.0,50.0,0.0,1.0," ""(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.035890020430088043"" "
0, comb, down,1,-2.4,2.4,50.0,70.0,0.0,1.0," ""(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.030591338872909546"" "
0, comb, down,1,-2.4,2.4,70.0,100.0,0.0,1.0," ""(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.029707241803407669"" "
0, comb, down,1,-2.4,2.4,100.0,140.0,0.0,1.0," ""(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.029463060200214386"" "
0, comb, down,1,-2.4,2.4,140.0,200.0,0.0,1.0," ""(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.030538776889443398"" "
0, comb, down,1,-2.4,2.4,200.0,300.0,0.0,1.0," ""(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.036362040787935257"" "
0, comb, down,1,-2.4,2.4,300.0,600.0,0.0,1.0," ""(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.066709131002426147"" "
0, comb, down,1,-2.4,2.4,600.0,1000.0,0.0,1.0," ""(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.13761924207210541"" "
0, comb, down,0,-2.4,2.4,20.0,30.0,0.0,1.0," ""(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.039079215377569199"" "
0, comb, down,0,-2.4,2.4,30.0,50.0,0.0,1.0," ""(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.014356007799506187"" "
0, comb, down,0,-2.4,2.4,50.0,70.0,0.0,1.0," ""(0.933791*((1.+(0.0115268*x))/(1.+(0.0103699*x))))-0.012236535549163818"" "
