OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central,1,-2.5,2.5,20.0,1000.0,0.0,1.0," ""0.873139+(0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))"" "
0, comb, central,0,-2.5,2.5,20.0,1000.0,0.0,1.0," ""0.873139+(0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))"" "
0, comb, down,1,-2.5,2.5,20.0,30.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.11263331770896912)"" "
0, comb, down,1,-2.5,2.5,30.0,50.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.035774830728769302)"" "
0, comb, down,1,-2.5,2.5,50.0,70.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.048977665603160858)"" "
0, comb, down,1,-2.5,2.5,70.0,100.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.029415970668196678)"" "
0, comb, down,1,-2.5,2.5,100.0,140.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.02761555090546608)"" "
0, comb, down,1,-2.5,2.5,140.0,200.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.027591491118073463)"" "
0, comb, down,1,-2.5,2.5,200.0,300.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.030103476718068123)"" "
0, comb, down,1,-2.5,2.5,300.0,600.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.10650250315666199)"" "
0, comb, down,1,-2.5,2.5,600.0,1000.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.22497090697288513)"" "
0, comb, down,0,-2.5,2.5,20.0,30.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.045053325593471527)"" "
0, comb, down,0,-2.5,2.5,30.0,50.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.014309932477772236)"" "
0, comb, down,0,-2.5,2.5,50.0,70.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.019591066986322403)"" "
0, comb, down,0,-2.5,2.5,70.0,100.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.011766388081014156)"" "
0, comb, down,0,-2.5,2.5,100.0,140.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.011046220548450947)"" "
0, comb, down,0,-2.5,2.5,140.0,200.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.01103659626096487)"" "
0, comb, down,0,-2.5,2.5,200.0,300.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.012041390873491764)"" "
0, comb, down,0,-2.5,2.5,300.0,600.0,0.0,1.0," ""0.873139+((0.00420739*(log(x+19)*(log(x+18)*(3-(0.380932*log(x+18))))))-0.042601000517606735)"" "
