DeepFlavour;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central,1,0.0,2.4,20.0,10000.0,-15.0,1.1, 1.0
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,-15.0,0.0, 0.0
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.0,0.055, 1.15426945686
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.055,0.133, 115.058397129*(x-0.055)*(x-0.055)*(x-0.055)-26.9236649282*(x-0.055)*(x-0.055)+2.1000458644*(x-0.055)+1.1542694568634033
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.133,0.1835, 3331.00907995*(x-0.133)*(x-0.133)*(x-0.133)-252.323937806*(x-0.133)*(x-0.133)+0.0*(x-0.133)+1.2088706493377686
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.1835,0.2405, -1572.40035193*(x-0.1835)*(x-0.1835)*(x-0.1835)+134.44023009*(x-0.1835)*(x-0.1835)+0.0*(x-0.1835)+0.9943742752075195
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.2405,0.3025, 465.118845657*(x-0.2405)*(x-0.2405)*(x-0.2405)-43.7529811149*(x-0.2405)*(x-0.2405)+0.0*(x-0.2405)+1.1399730443954468
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.3025,0.3685, -13.457449729*(x-0.3025)*(x-0.3025)*(x-0.3025)+1.34377357356*(x-0.3025)*(x-0.3025)-0.0616191301366*(x-0.3025)+1.0826374292373657
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.3685,0.4355, 207.825267931*(x-0.3685)*(x-0.3685)*(x-0.3685)-22.9406718211*(x-0.3685)*(x-0.3685)-0.0601029714852*(x-0.3685)+1.0805550813674927
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.4355,0.5025, -65.0570295442*(x-0.4355)*(x-0.4355)*(x-0.4355)+6.0163405946*(x-0.4355)*(x-0.4355)-0.335370112287*(x-0.4355)+1.0360536575317383
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.5025,0.5695, 844.561627036*(x-0.5025)*(x-0.5025)*(x-0.5025)-81.8537906105*(x-0.5025)*(x-0.5025)-0.405303489481*(x-0.5025)+1.021024465560913
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.5695,0.6365, -352.014275332*(x-0.5695)*(x-0.5695)*(x-0.5695)+35.3774346708*(x-0.5695)*(x-0.5695)+0.0*(x-0.5695)+0.880440354347229
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.6365,0.703, 302.414506623*(x-0.6365)*(x-0.6365)*(x-0.6365)-30.1658470356*(x-0.6365)*(x-0.6365)+0.0*(x-0.6365)+0.9333767890930176
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.703,0.769, -9.46421009864*(x-0.703)*(x-0.703)*(x-0.703)+1.50179492544*(x-0.703)*(x-0.703)+0.0*(x-0.703)+0.8889098167419434
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.769,0.835, -30.9553525056*(x-0.769)*(x-0.769)*(x-0.769)+2.49974177238*(x-0.769)*(x-0.769)+0.0745586325885*(x-0.769)+0.892730712890625
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.835,0.9009999999999999, 83.0315586104*(x-0.835)*(x-0.835)*(x-0.835)-11.3443808069*(x-0.835)*(x-0.835)+0.0*(x-0.835)+0.8996409177780151
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.9009999999999999,0.972, 0.229181096942*(x-0.901)*(x-0.901)*(x-0.901)-0.434263360503*(x-0.901)*(x-0.901)-0.412401858593*(x-0.901)+0.8740960359573364
3, iterativefit, down_hfstats2,0,0.0,2.5,20.0,30.0,0.972,1.1, 0.842708408833
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,-15.0,0.0, 0.0
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.0,0.064, 1.18544185162
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.064,0.149, 0.895280603628*(x-0.064)*(x-0.064)*(x-0.064)-1.05981885855*(x-0.064)*(x-0.064)+0.0*(x-0.064)+1.1854418516159058
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.149,0.1975, 146.614501896*(x-0.149)*(x-0.149)*(x-0.149)-18.1155385722*(x-0.149)*(x-0.149)-0.16076399887*(x-0.149)+1.1783344745635986
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.1975,0.2545, 490.701186317*(x-0.1975)*(x-0.1975)*(x-0.1975)-34.2062728853*(x-0.1975)*(x-0.1975)-0.883349354115*(x-0.1975)+1.1446515321731567
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.2545,0.314, -67.4888701474*(x-0.2545)*(x-0.2545)*(x-0.2545)+6.02338166065*(x-0.2545)*(x-0.2545)+0.0*(x-0.2545)+1.0740388631820679
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.314,0.3765, 293.856445312*(x-0.314)*(x-0.314)*(x-0.314)-27.549041748*(x-0.314)*(x-0.314)+0.0*(x-0.314)+1.0811469554901123
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.3765,0.4415, -0.261793399082*(x-0.3765)*(x-0.3765)*(x-0.3765)+0.253714021838*(x-0.3765)*(x-0.3765)+0.0*(x-0.3765)+1.0452758073806763
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.4415,0.507, -192.010256345*(x-0.4415)*(x-0.4415)*(x-0.4415)+18.6385604225*(x-0.4415)*(x-0.4415)+0.0296645915055*(x-0.4415)+1.0462758541107178
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.507,0.5735, 351.931578213*(x-0.507)*(x-0.507)*(x-0.507)-40.0737460111*(x-0.507)*(x-0.507)+0.0*(x-0.507)+1.074225902557373
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.5735,0.6405, 62.3543304048*(x-0.5735)*(x-0.5735)*(x-0.5735)-1.33511800999*(x-0.5735)*(x-0.5735)-0.660819954223*(x-0.5735)+1.0005056858062744
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.6405,0.7070000000000001, -109.543131907*(x-0.6405)*(x-0.6405)*(x-0.6405)+10.9269274077*(x-0.6405)*(x-0.6405)+0.0*(x-0.6405)+0.9689912796020508
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.7070000000000001,0.773, 63.9285610177*(x-0.707)*(x-0.707)*(x-0.707)-9.28093171284*(x-0.707)*(x-0.707)+0.0*(x-0.707)+0.9850984811782837
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.773,0.8390000000000001, 125.173133793*(x-0.773)*(x-0.773)*(x-0.773)-9.44013607338*(x-0.773)*(x-0.773)-0.389664550716*(x-0.773)+0.9630499482154846
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.8390000000000001,0.9045, -264.226239526*(x-0.839)*(x-0.839)*(x-0.839)+25.9602280334*(x-0.839)*(x-0.839)+0.0*(x-0.839)+0.932197630405426
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.9045,0.9735, 70.8320564227*(x-0.9045)*(x-0.9045)*(x-0.9045)-23.5768044381*(x-0.9045)*(x-0.9045)+0.0*(x-0.9045)+0.969322919845581
3, iterativefit, down_hfstats2,0,0.0,2.5,30.0,50.0,0.9735,1.1, 0.880342721939
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,-15.0,0.0, 0.0
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.0,0.0675, 1.21588087082
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.0675,0.162, 7.77215336894*(x-0.0675)*(x-0.0675)*(x-0.0675)-5.79048283694*(x-0.0675)*(x-0.0675)+0.0*(x-0.0675)+1.2158808708190918
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.162,0.221, 1647.96245291*(x-0.162)*(x-0.162)*(x-0.162)-138.334681842*(x-0.162)*(x-0.162)-0.886179438312*(x-0.162)+1.170729398727417
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.221,0.28600000000000003, -1142.09770234*(x-0.221)*(x-0.221)*(x-0.221)+111.354525978*(x-0.221)*(x-0.221)+0.0*(x-0.221)+0.9753586649894714
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.28600000000000003,0.35100000000000003, 25.7546173269*(x-0.286)*(x-0.286)*(x-0.286)-4.8959174788*(x-0.286)*(x-0.286)+0.0*(x-0.286)+1.1321829557418823
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.35100000000000003,0.41600000000000004, 130.751514385*(x-0.351)*(x-0.351)*(x-0.351)-12.9088716711*(x-0.351)*(x-0.351)-0.310029497625*(x-0.351)+1.1185705661773682
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.41600000000000004,0.4825, -46.0416178086*(x-0.416)*(x-0.416)*(x-0.416)+4.60326445265*(x-0.416)*(x-0.416)-0.330907370043*(x-0.416)+1.0797863006591797
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.4825,0.5489999999999999, 67.4942360849*(x-0.4825)*(x-0.4825)*(x-0.4825)-8.42335137086*(x-0.4825)*(x-0.4825)-0.329495830903*(x-0.4825)+1.0645978450775146
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.5489999999999999,0.615, 112.38576055*(x-0.549)*(x-0.549)*(x-0.549)-6.92639933495*(x-0.549)*(x-0.549)-0.554372406649*(x-0.549)+1.0252848863601685
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.615,0.6805, -744.186681953*(x-0.615)*(x-0.615)*(x-0.615)+73.1163415019*(x-0.615)*(x-0.615)+0.0*(x-0.615)+0.9908353686332703
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.6805,0.7445, 311.258934176*(x-0.6805)*(x-0.6805)*(x-0.6805)-36.3438924178*(x-0.6805)*(x-0.6805)+0.0*(x-0.6805)+1.0953978300094604
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.7445,0.8065, 140.302751383*(x-0.7445)*(x-0.7445)*(x-0.7445)-6.37663615017*(x-0.7445)*(x-0.7445)-0.827268446328*(x-0.7445)+1.028127908706665
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.8065,0.8665, -527.571748804*(x-0.8065)*(x-0.8065)*(x-0.8065)+47.4814573924*(x-0.8065)*(x-0.8065)+0.0*(x-0.8065)+0.9857635498046875
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.8665,0.9235, 668.88519241*(x-0.8665)*(x-0.8665)*(x-0.8665)-68.2716564132*(x-0.8665)*(x-0.8665)+0.0*(x-0.8665)+1.042741298675537
3, iterativefit, down_hfstats2,0,0.0,2.5,50.0,70.0,0.9235,0.9805, 29.3117087683*(x-0.9235)*(x-0.9235)*(x-0.9235)+2.96895332215*(x-0.9235)*(x-0.9235)-1.26334486068*(x-0.9235)+0.944799542427063
