DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central,1,-2.4,2.4,20.0,1000.0,0.0,1.0," ""0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))"" "
0, comb, central,0,-2.4,2.4,20.0,1000.0,0.0,1.0," ""0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))"" "
0, comb, down,1,-2.4,2.4,20.0,30.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.061678234487771988"" "
0, comb, down,1,-2.4,2.4,30.0,50.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.032233506441116333"" "
0, comb, down,1,-2.4,2.4,50.0,70.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.030768521130084991"" "
0, comb, down,1,-2.4,2.4,70.0,100.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.029403112828731537"" "
0, comb, down,1,-2.4,2.4,100.0,140.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.029279418289661407"" "
0, comb, down,1,-2.4,2.4,140.0,200.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.030047547072172165"" "
0, comb, down,1,-2.4,2.4,200.0,300.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.034353077411651611"" "
0, comb, down,1,-2.4,2.4,300.0,600.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.068900331854820251"" "
0, comb, down,1,-2.4,2.4,600.0,1000.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.14984135329723358"" "
0, comb, down,0,-2.4,2.4,20.0,30.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.024671293795108795"" "
0, comb, down,0,-2.4,2.4,30.0,50.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.012893402948975563"" "
0, comb, down,0,-2.4,2.4,50.0,70.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.012307408265769482"" "
0, comb, down,0,-2.4,2.4,70.0,100.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.01176124531775713"" "
0, comb, down,0,-2.4,2.4,100.0,140.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.011711766943335533"" "
0, comb, down,0,-2.4,2.4,140.0,200.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.012019018642604351"" "
0, comb, down,0,-2.4,2.4,200.0,300.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.013741230592131615"" "
0, comb, down,0,-2.4,2.4,300.0,600.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.02756013348698616"" "
0, comb, down,0,-2.4,2.4,600.0,1000.0,0.0,1.0," ""(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.059936542063951492"" "
