cTag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 25, 35, -1, 1, "0.970264" 
0, comb, central, 1, -2.5, 2.5, 35, 50, -1, 1, "0.953480" 
0, comb, central, 1, -2.5, 2.5, 50, 70, -1, 1, "0.989248" 
0, comb, central, 1, -2.5, 2.5, 70, 200, -1, 1, "0.901485" 
0, comb, down, 1, -2.5, 2.5, 25, 35, -1, 1, "0.970264-0.027802" 
0, comb, down, 1, -2.5, 2.5, 35, 50, -1, 1, "0.953480-0.033620" 
0, comb, down, 1, -2.5, 2.5, 50, 70, -1, 1, "0.989248-0.046526" 
0, comb, down, 1, -2.5, 2.5, 70, 200, -1, 1, "0.901485-0.033711" 
0, comb, up, 1, -2.5, 2.5, 25, 35, -1, 1, "0.970264+0.027802" 
0, comb, up, 1, -2.5, 2.5, 35, 50, -1, 1, "0.953480+0.033620" 
0, comb, up, 1, -2.5, 2.5, 50, 70, -1, 1, "0.989248+0.046526" 
0, comb, up, 1, -2.5, 2.5, 70, 200, -1, 1, "0.901485+0.033711" 
1, comb, central, 1, -2.5, 2.5, 25, 35, -1, 1, "0.924127" 
1, comb, central, 1, -2.5, 2.5, 35, 50, -1, 1, "0.929352" 
1, comb, central, 1, -2.5, 2.5, 50, 70, -1, 1, "0.991611" 
1, comb, central, 1, -2.5, 2.5, 70, 200, -1, 1, "0.816799" 
1, comb, down, 1, -2.5, 2.5, 25, 35, -1, 1, "0.924127-0.060853" 
1, comb, down, 1, -2.5, 2.5, 35, 50, -1, 1, "0.929352-0.060457" 
1, comb, down, 1, -2.5, 2.5, 50, 70, -1, 1, "0.991611-0.082642" 
1, comb, down, 1, -2.5, 2.5, 70, 200, -1, 1, "0.816799-0.108766" 
1, comb, up, 1, -2.5, 2.5, 25, 35, -1, 1, "0.924127+0.060853" 
1, comb, up, 1, -2.5, 2.5, 35, 50, -1, 1, "0.929352+0.060457" 
1, comb, up, 1, -2.5, 2.5, 50, 70, -1, 1, "0.991611+0.082642" 
1, comb, up, 1, -2.5, 2.5, 70, 200, -1, 1, "0.816799+0.108766" 
2, comb, central, 1, -2.5, 2.5, 25, 35, -1, 1, "0.901893" 
2, comb, central, 1, -2.5, 2.5, 35, 50, -1, 1, "1.246848" 
2, comb, central, 1, -2.5, 2.5, 50, 70, -1, 1, "1.343093" 
2, comb, central, 1, -2.5, 2.5, 70, 200, -1, 1, "0.828315" 
2, comb, down, 1, -2.5, 2.5, 25, 35, -1, 1, "0.901893-0.263225" 
2, comb, down, 1, -2.5, 2.5, 35, 50, -1, 1, "1.246848-0.375637" 
2, comb, down, 1, -2.5, 2.5, 50, 70, -1, 1, "1.343093-0.489696" 
2, comb, down, 1, -2.5, 2.5, 70, 200, -1, 1, "0.828315-0.712992" 
2, comb, up, 1, -2.5, 2.5, 25, 35, -1, 1, "0.901893+0.263225" 
2, comb, up, 1, -2.5, 2.5, 35, 50, -1, 1, "1.246848+0.375637" 
2, comb, up, 1, -2.5, 2.5, 50, 70, -1, 1, "1.343093+0.489696" 
2, comb, up, 1, -2.5, 2.5, 70, 200, -1, 1, "0.828315+0.712992" 
0,TnP,central,0,-2.5,2.5,30.0,60.0,0.0,1.0,"1.0193"
0,TnP,down,0,-2.5,2.5,30.0,60.0,0.0,1.0,"0.8535"
0,TnP,up,0,-2.5,2.5,30.0,60.0,0.0,1.0,"1.1851"
0,TnP,central,0,-2.5,2.5,60.0,100.0,0.0,1.0,"1.0543"
0,TnP,down,0,-2.5,2.5,60.0,100.0,0.0,1.0,"0.95317"
0,TnP,up,0,-2.5,2.5,60.0,100.0,0.0,1.0,"1.1554"
0,TnP,central,0,-2.5,2.5,100.0,140.0,0.0,1.0,"1.1883"
0,TnP,down,0,-2.5,2.5,100.0,140.0,0.0,1.0,"1.14"
0,TnP,up,0,-2.5,2.5,100.0,140.0,0.0,1.0,"1.2367"
0,TnP,central,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.1088"
0,TnP,down,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.0574"
0,TnP,up,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.1602"
0,TnP,central,0,-2.5,2.5,200.0,600.0,0.0,1.0,"1.0853"
0,TnP,down,0,-2.5,2.5,200.0,600.0,0.0,1.0,"1.0013"
0,TnP,up,0,-2.5,2.5,200.0,600.0,0.0,1.0,"1.1693"
1,TnP,central,0,-2.5,2.5,30.0,60.0,0.0,1.0,"1.087"
1,TnP,down,0,-2.5,2.5,30.0,60.0,0.0,1.0,"0.98145"
1,TnP,up,0,-2.5,2.5,30.0,60.0,0.0,1.0,"1.1925"
1,TnP,central,0,-2.5,2.5,60.0,100.0,0.0,1.0,"1.04"
1,TnP,down,0,-2.5,2.5,60.0,100.0,0.0,1.0,"0.92589"
1,TnP,up,0,-2.5,2.5,60.0,100.0,0.0,1.0,"1.1542"
1,TnP,central,0,-2.5,2.5,100.0,140.0,0.0,1.0,"1.1466"
1,TnP,down,0,-2.5,2.5,100.0,140.0,0.0,1.0,"1.0889"
1,TnP,up,0,-2.5,2.5,100.0,140.0,0.0,1.0,"1.2043"
1,TnP,central,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.1307"
1,TnP,down,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.0847"
1,TnP,up,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.1766"
1,TnP,central,0,-2.5,2.5,200.0,600.0,0.0,1.0,"1.0637"
1,TnP,down,0,-2.5,2.5,200.0,600.0,0.0,1.0,"0.84564"
1,TnP,up,0,-2.5,2.5,200.0,600.0,0.0,1.0,"1.2818"
2,TnP,central,0,-2.5,2.5,30.0,60.0,0.0,1.0,"0.93483"
2,TnP,down,0,-2.5,2.5,30.0,60.0,0.0,1.0,"0.79873"
2,TnP,up,0,-2.5,2.5,30.0,60.0,0.0,1.0,"1.0709"
2,TnP,central,0,-2.5,2.5,60.0,100.0,0.0,1.0,"0.99822"
2,TnP,down,0,-2.5,2.5,60.0,100.0,0.0,1.0,"0.88438"
2,TnP,up,0,-2.5,2.5,60.0,100.0,0.0,1.0,"1.1121"
2,TnP,central,0,-2.5,2.5,100.0,140.0,0.0,1.0,"0.84253"
2,TnP,down,0,-2.5,2.5,100.0,140.0,0.0,1.0,"0.74337"
2,TnP,up,0,-2.5,2.5,100.0,140.0,0.0,1.0,"0.94169"
2,TnP,central,0,-2.5,2.5,140.0,200.0,0.0,1.0,"0.95646"
2,TnP,down,0,-2.5,2.5,140.0,200.0,0.0,1.0,"0.83339"
2,TnP,up,0,-2.5,2.5,140.0,200.0,0.0,1.0,"1.0795"
2,TnP,central,0,-2.5,2.5,200.0,600.0,0.0,1.0,"0.75254"
2,TnP,down,0,-2.5,2.5,200.0,600.0,0.0,1.0,"0.56019"
2,TnP,up,0,-2.5,2.5,200.0,600.0,0.0,1.0,"0.94488"
0, incl, central, 2, 0, 2.5, 20, 1000, 0, 1, "0.980822+8.9117e-05*x+-2.07063e-07*x*x+1.30409e-10*x*x*x" 
