CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 1, 0.0, 2.4, 20.0, 10000, -15, 1.1, "1.0"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -15, 0, "1.42385"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0, 0.1515, "0.825909"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.1515, 0.454, "0.593041+(1.53708*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.454, 0.6335, "1.38324+(-0.203453*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.6335, 0.6905, "6.75781+(-8.68738*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.6905, 0.7475, "-6.08679+(9.91451*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.7475, 0.8045, "2.14756+(-1.10135*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.8045, 0.8615, "4.43481+(-3.94441*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.8615, 0.898, "1.26677+(-0.267064*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.898, 0.914, "8.96587+(-8.84067*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.914, 0.93, "7.55842+(-7.30079*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.93, 0.946, "-15.3967+(17.3821*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.946, 0.962, "7.96593+(-7.31409*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.962, 0.973, "15.6144+(-15.2646*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.973, 0.979, "28.1449+(-28.1429*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.979, 0.985, "-53.4006+(55.1518*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.985, 0.991, "34.1978+(-33.7805*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.991, 1.002, "-8.19848+(9.00072*x)"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 1.002, 1.1, "0.820239"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -15, 0, "1.20134"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0, 0.1515, "0.520586"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.1515, 0.454, "0.180312+(2.24603*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.454, 0.6335, "0.712064+(1.07477*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.6335, 0.6905, "7.17968+(-9.13456*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.6905, 0.7475, "-8.77503+(13.9715*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.7475, 0.8045, "8.3812+(-8.98002*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.8045, 0.8615, "2.44168+(-1.59715*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.8615, 0.898, "-1.56987+(3.05932*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.898, 0.914, "11.745+(-11.768*x)"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, 0.914, 0.93, "9.52982+(-9.34432*x)"
